code,numeric_code,our_name,yahoo_name,similarity,category,normalized_ours,normalized_yahoo
REVENUE,0200,"Revenue Group Berhad","REVENUE",64,MISMATCH,"REVENUE BHD","REVENUE"
RGB,0037,"RGB International Bhd","RGB",25,MISMATCH,"RGB INTL BHD","RGB"
RHBBANK,1066,"RHB Bank Berhad","RHBBANK",58,MISMATCH,"RHB BANK BHD","RHBBANK"
RSAWIT,5113,"Rimbunan Sawit Berhad","RSAWIT",33,MISMATCH,"RIMBUNAN SAWIT BHD","RSAWIT"
SAB,5134,"Southern Acids (M) Berhad","SAB",17,MISMATCH,"SOUTHERN ACIDS BHD","SAB"
SAG,0360,"Signature Alliance Group Berhad","SAG",9,MISMATCH,"SIGNATURE ALLIANCE BHD","SAG"
SALCON,8567,"Salcon Berhad","SALCON",60,MISMATCH,"SALCON BHD","SALCON"
SALIRAN,0346,"Saliran Group Berhad","SALIRAN",64,MISMATCH,"SALIRAN BHD","SALIRAN"
SAM,9822,"SAM Engineering & Equipment (M) Berhad","SAM",10,MISMATCH,"SAM ENGINEERING EQUIPMENT BHD","SAM"
SAMAIDEN,0223,"Samaiden Group Berhad","SAMAIDEN",67,MISMATCH,"SAMAIDEN BHD","SAMAIDEN"
SAPIND,7811,"SAP Industry","SAPIND",50,MISMATCH,"SAP INDUSTRY","SAPIND"
SAPRES,4596,"Sarawak Plantation","SAPRES",17,MISMATCH,"SARAWAK PLANTATION","SAPRES"
SBAGAN,2569,"Sungei Bagan Rubber Company (Malaya) Berhad","SBAGAN",16,MISMATCH,"SUNGEI BAGAN RUBBER COMPANY MALAYA BHD","SBAGAN"
SBH,0300,"SB Holdings Berhad","SBH",50,MISMATCH,"SB BHD","SBH"
SCBUILD,0109,"SC Build","SCBUILD",88,MATCH,"SC BUILD","SCBUILD"
SCC,0158,"SCC Holdings Berhad","SCC",43,MISMATCH,"SCC BHD","SCC"
SCGBHD,0225,"Southern Cable Group Berhad","SCGBHD",28,MISMATCH,"SOUTHERN CABLE BHD","SCGBHD"
SCICOM,0099,"Scicom (MSC) Berhad","SCICOM",43,MISMATCH,"SCICOM MSC BHD","SCICOM"
SCIENTX,4731,"Scientex Berhad","SCIENTX",58,MISMATCH,"SCIENTEX BHD","SCIENTX"
SCIPACK,8125,"Scientex Packaging","SCIPACK",39,MISMATCH,"SCIENTEX PACKAGING","SCIPACK"
SCOMNET,0001,"Supercomnet Technologies Berhad","SCOMNET",25,MISMATCH,"SUPERCOMNET TECHNOLOGIES BHD","SCOMNET"
SCOPE,0028,"Scope Industries Berhad","SCOPE",25,MISMATCH,"SCOPE INDUSTRIES BHD","SCOPE"
SDG,5285,"SD Guthrie Berhad","SDG",21,MISMATCH,"SD GUTHRIE BHD","SDG"
SDS,0212,"SDS Group Berhad","SDS",43,MISMATCH,"SDS BHD","SDS"
SEAL,4286,"Seal Incorporated Berhad","SEAL",19,MISMATCH,"SEAL INCORPORATED BHD","SEAL"
SEDANIA,0178,"Sedania Innovator Berhad","SEDANIA",33,MISMATCH,"SEDANIA INNOVATOR BHD","SEDANIA"
SEG,9792,"SEG International Bhd","SEG",25,MISMATCH,"SEG INTL BHD","SEG"
SEM,5250,"7-Eleven Malaysia Holdings Berhad","SEM",10,MISMATCH,"7 ELEVEN MALAYSIA BHD","SEM"
SENDAI,5205,"Eversendai Corporation Berhad","SENDAI",32,MISMATCH,"EVERSENDAI CORP BHD","SENDAI"
SENFONG,5308,"Seng Fong Holdings Berhad","SENFONG",54,MISMATCH,"SENG FONG BHD","SENFONG"
SENHENG,5305,"Senheng New Retail Berhad","SENHENG",32,MISMATCH,"SENHENG NEW RETAIL BHD","SENHENG"
SENTRAL,5123,"Sentral REIT","SENTRAL",58,MISMATCH,"SENTRAL REIT","SENTRAL"
SERNKOU,7180,"Sern Kou Resources Berhad","SERNKOU",32,MISMATCH,"SERN KOU RESOURCES BHD","SERNKOU"
SERSOL,0055,"Serba Dinamik Holdings Berhad","SERSOL",18,MISMATCH,"SERBA DINAMIK BHD","SERSOL"
SFPTECH,0251,"SFP Tech Holdings Berhad","SFPTECH",58,MISMATCH,"SFP TECH BHD","SFPTECH"
SG,5157,"SG Holdings","SG",100,MATCH,"SG","SG"
SHANG,5517,"Shangri-La Hotels (Malaysia) Berhad","SHANG",24,MISMATCH,"SHANGRI LA HOTELS BHD","SHANG"
SHL,6017,"SHL Consolidated Bhd","SHL",15,MISMATCH,"SHL CONSOLIDATED BHD","SHL"
SIGN,7246,"Signature International Berhad","SIGN",22,MISMATCH,"SIGNATURE INTL BHD","SIGN"
SIME,4197,"Sime Darby Berhad","SIME",29,MISMATCH,"SIME DARBY BHD","SIME"
SIMEPROP,5288,"Sime Darby Property Berhad","SIMEPROP",35,MISMATCH,"SIME DARBY PROPERTY BHD","SIMEPROP"
SKPRES,7155,"SKP Resources Bhd","SKPRES",35,MISMATCH,"SKP RESOURCES BHD","SKPRES"
SKYWLD,0201,"SkyWorld Development Berhad","NOVA",8,MISMATCH,"SKYWORLD DEVELOPMENT BHD","NOVA"
SLP,7248,"SLP Resources Berhad","SLP",18,MISMATCH,"SLP RESOURCES BHD","SLP"
SLVEST,0207,"Solarvest Holdings Berhad","MESTRON",23,MISMATCH,"SOLARVEST BHD","MESTRON"
SMETRIC,0203,"Smart Metric Group Berhad","SMETRIC",44,MISMATCH,"SMART METRIC BHD","SMETRIC"
SMRT,0117,"SMRT Holdings Berhad","SMRT",50,MISMATCH,"SMRT BHD","SMRT"
SNS,0259,"SNS Network","SNS",27,MISMATCH,"SNS NETWORK","SNS"
SOLID,5242,"Solid Automotive","SOLID",31,MISMATCH,"SOLID AUTOMOTIVE","SOLID"
SOLUTN,0093,"Solution Engineering Holdings Berhad","SOLUTN",25,MISMATCH,"SOLUTION ENGINEERING BHD","SOLUTN"
SOP,5126,"Sarawak Oil Palms Berhad","SOP",14,MISMATCH,"SARAWAK OIL PALMS BHD","SOP"
SORENTO,0326,"Sorento Capital Berhad","SORENTO",37,MISMATCH,"SORENTO CAPITAL BHD","SORENTO"
SPRITZER,7222,"Spritzer Bhd","IMASPRO",8,MISMATCH,"SPRITZER BHD","IMASPRO"
SPSETIA,8664,"S P Setia Berhad","SPSETIA",54,MISMATCH,"S P SETIA BHD","SPSETIA"
SPTOTO,1562,"Sports Toto Berhad","SPTOTO",40,MISMATCH,"SPORTS TOTO BHD","SPTOTO"
SRIDGE,0129,"Sunridge Group Berhad","SRIDGE",50,MISMATCH,"SUNRIDGE BHD","SRIDGE"
SSB8,0045,"Southern Score Builders Berhad","SSB8",11,MISMATCH,"SOUTHERN SCORE BUILDERS BHD","SSB8"
SSF,0287,"SSF Corporation","SSF",38,MISMATCH,"SSF CORP","SSF"
SSTEEL,5665,"Southern Steel Berhad","SSTEEL",33,MISMATCH,"SOUTHERN STEEL BHD","SSTEEL"
